card_code,name,faction_code,xp,main_decks_including_once,main_deck_occurances,side_decks_including_once,side_deck_occurances
05116,Scroll of Secrets,seeker,0,332,600,16,23
02105,Emergency Aid,guardian,0,370,619,3,4
05022,Steadfast,guardian,0,332,611,7,10
02029,Ritual Candles,mystic,0,368,612,6,6
04157,Enraptured,mystic,0,325,598,11,19
01066,Blinding Light,mystic,0,393,611,3,6
05153,"Mr. ""Rook""",seeker,0,324,600,12,16
01074,Baseball Bat,survivor,0,393,608,3,5
05313,Hallowed Mirror,guardian,0,592,592,16,16
03012,The Painted World,neutral,0,202,606,0,0
04017,Survival Knife,guardian,0,354,593,9,12
03031,Lockpicks (1),rogue,1,238,418,103,186
60110,Safeguard,guardian,0,369,569,17,25
05114,Meat Cleaver,survivor,0,320,582,6,9
02025,Think on Your Feet,rogue,0,350,576,6,9
08072,Schoffner's Catalogue,survivor,0,316,570,11,14
01028,Beat Cop (2),guardian,2,226,376,113,200
02108,Pathfinder (1),seeker,1,239,342,152,232
03267,Narrow Escape,rogue,0,313,557,6,9
02035,Peter Sylvestre (2),survivor,2,198,334,130,231
07023,Deep Knowledge,seeker,0,287,539,13,23
03037,Gravedigger's Shovel,survivor,0,322,554,4,7
05024,Fingerprint Kit,seeker,0,307,539,16,22
03270,Ward of Protection (2),mystic,2,159,288,143,268
08127,Sled Dog,neutral,0,148,544,4,10
60416,Voice of Ra,mystic,0,298,543,4,8
04199,Premonition,mystic,0,288,536,6,12
02023,Seeking Answers,seeker,0,300,523,6,8
03023,Ever Vigilant (1),guardian,1,275,352,128,178
04023,Tooth of Eztli,seeker,0,306,506,7,9
04032,Dark Prophecy,mystic,0,269,505,5,7
02149,Art Student,seeker,0,282,496,8,11
02232,Alyssa Graham,mystic,0,300,499,6,8
07037,Tempt Fate,neutral,0,256,484,12,20
02153,Hypnotic Gaze,mystic,0,293,488,4,7
60305,Lockpicks,rogue,0,277,479,9,14
60107,Grete Wagner,guardian,0,271,470,17,22
03036,Lantern,survivor,0,284,483,6,8
05037,Act of Desperation,survivor,0,274,476,9,13
01588,Emergency Cache,neutral,0,260,481,2,3
04197,Olive McBride,mystic,0,258,465,9,12
02190,Defiance,mystic,0,258,464,5,6
60215,Cryptic Writings,seeker,0,236,451,8,15
03020,.32 Colt,guardian,0,273,457,6,8
02116,Smoking Pipe,neutral,0,310,443,12,16
03018,Improvisation,neutral,0,228,456,0,0
03019,Crisis of Identity,neutral,0,228,456,0,0
02007,Smite the Wicked,neutral,0,455,455,0,0
02006,Zoey's Cross,neutral,0,454,454,0,0
04203,Trench Coat,neutral,0,284,424,13,17
02302,Dr. William T. Maleson,seeker,0,249,426,10,15
01076,Stray Cat,survivor,0,282,416,15,20
06155,Tetsuo Mori,guardian,0,242,420,8,12
03025,Archaic Glyphs,seeker,0,240,407,17,25
03194,Cheap Shot,rogue,0,248,425,4,7
01035,Medical Texts,seeker,0,338,431,1,1
01081,Survival Instinct,survivor,0,298,425,3,4
07114,Breaking and Entering,rogue,0,228,407,14,20
01040,Magnifying Glass (1),seeker,1,199,293,80,133
03264,Stick to the Plan (3),guardian,3,258,258,168,168
01593,Unexpected Courage,neutral,0,224,421,2,4
01053,Opportunist,rogue,0,273,424,1,1
01077,Dig Deep,survivor,0,299,414,7,10
60408,Clairvoyance,mystic,0,229,409,8,12
08020,Toe to Toe,guardian,0,228,408,11,13
02267,Moonlight Ritual,mystic,0,226,406,7,12
03155,Fight or Flight,survivor,0,227,404,8,11
05028,Well Connected,rogue,0,262,408,5,7
04029,Mists of R'lyeh,mystic,0,247,403,7,11
06245,A Glimmer of Hope,survivor,0,133,397,5,14
02017,Taunt,guardian,0,256,406,4,5
01008,Daisy's Tote Bag,neutral,0,408,408,2,2
01009,The Necronomicon,neutral,0,408,408,2,2
02148,Stand Together (3),guardian,3,121,209,109,199
02015,Wracked by Nightmares,neutral,0,407,407,0,0
01006,Roland's .38 Special,neutral,0,404,404,1,1
02014,Duke,neutral,0,405,405,0,0
01007,Cover Up,neutral,0,403,403,0,0
04036,Last Chance,survivor,0,211,392,4,8
02030,Clarity of Mind,mystic,0,251,390,7,9
02225,"""If it bleeds...""",guardian,0,254,388,6,8
60412,Robes of Endless Night,mystic,0,230,380,11,15
60228,Perception (2),seeker,2,97,177,114,218
02194,Emergency Cache (2),neutral,2,134,218,103,173
03196,Quantum Flux,mystic,0,292,379,8,11
06021,Segment of Onyx (1),seeker,1,107,313,28,77
08073,Bandages,survivor,0,219,377,9,11
04018,Venturer,guardian,0,208,374,6,9
04112,Stunning Blow,survivor,0,212,365,9,15
05115,.45 Thompson,guardian,0,206,360,10,14
03116,Say Your Prayers,neutral,0,226,370,3,3
